건물코드,기온,강수량,풍속,습도,전력소비량
BQ,21.7,,0.4,99.0,412.5
BA,27.4,0.0,2.4,63.0,16282.0
CZ,27.1,9.1,2.3,100.0,2012.16
CL,21.2,,1.0,86.0,1139.58
AJ,22.8,,1.0,99.0,3737.28
BZ,25.6,,3.8,79.0,1823.7
CH,23.7,,2.4,79.0,2073.12
DD,23.6,,1.7,91.0,1665.36
AD,23.6,,2.1,77.0,1211.04
DN,23.7,0.0,1.5,87.0,556.74
AD,23.1,,2.3,59.0,678.78
AY,28.3,,2.7,82.0,9404.88
BA,23.1,,2.9,67.0,15061.2
BA,22.4,,1.3,80.0,13260.8
DA,26.2,,0.9,98.0,2361.6
DA,21.1,,2.1,61.0,3688.8
BN,26.8,,3.4,69.0,3496.5
DV,30.0,,3.1,66.0,1326.48
DC,24.5,,1.9,80.0,906.84
CV,18.0,,1.1,45.0,2931.12
BJ,28.5,,3.6,63.0,2976.0
CC,26.7,,0.8,85.0,1140.84
DM,30.3,,4.4,86.0,2328.72
DA,25.8,31.2,2.4,99.9,2337.6
AG,26.3,,0.2,64.0,556.32
CO,25.4,,1.8,75.0,1704.48
DE,26.7,,2.2,81.0,979.8
DF,24.4,,2.6,43.0,2227.2
DJ,27.4,,4.5,67.0,1786.5
CY,25.8,0.0,3.9,56.0,1127.52
DG,29.6,,2.2,71.0,2430.24
CL,25.3,,2.3,56.0,1001.34
AQ,28.5,0.1,2.8,78.0,624.96
DV,22.9,,2.1,80.0,900.72
BC,25.1,5.5,2.8,98.0,2033.4
CK,24.5,1.0,3.6,88.0,621.18
DP,27.6,,3.9,74.0,3307.2
AW,26.3,,1.4,87.0,1059.3
BQ,26.0,0.1,1.8,96.0,3711.0
AH,25.6,2.4,2.7,98.0,1281.36
BT,26.5,8.5,1.9,88.0,1562.88
AN,23.3,2.3,2.0,92.0,2375.52
CV,29.7,,2.9,67.0,5960.16
CM,16.1,3.3,1.4,99.0,563.04
AG,19.7,,1.4,91.0,567.36
AG,25.6,,2.2,77.0,880.32
DE,26.7,,1.4,88.0,798.0
DT,25.3,,1.6,47.0,1327.14
DH,28.2,,1.0,77.0,1662.84
DU,30.1,,3.1,61.0,785.52
BA,30.4,,2.6,56.0,22313.2
CE,19.8,,5.9,58.0,1603.8
DB,26.8,2.3,3.8,92.0,4626.72
BK,26.7,,1.4,82.0,4569.6
DR,25.2,,2.3,95.0,2419.32
DD,24.6,,5.2,86.0,1391.76
AU,28.5,,1.7,70.0,1709.58
DI,23.1,,0.4,87.0,822.96
BP,26.8,,2.9,49.0,2991.96
AX,24.8,,2.6,84.0,7541.4
DI,22.2,1.9,0.8,96.0,1786.32
AR,25.2,,2.6,52.0,857.7
AD,18.8,,4.2,64.0,698.94
DP,23.7,,1.6,89.0,1639.2
CA,28.5,,2.8,69.0,3812.64
DD,19.5,3.8,2.1,80.0,3260.16
DO,32.9,,2.4,63.0,1393.38
AG,24.7,,1.5,87.0,480.96
DO,22.7,,1.9,84.0,1113.3
AE,27.0,0.0,2.7,89.0,1751.76
AQ,16.7,,1.2,90.0,985.68
CQ,25.0,0.1,2.2,98.0,3858.9
DS,31.7,,1.8,73.0,1635.66
AZ,29.1,,1.1,83.0,3708.96
BZ,31.0,,8.8,66.0,1872.9
DB,27.5,,2.8,78.0,1143.36
BW,30.2,,2.4,77.0,3962.52
DM,31.5,,4.2,77.0,2455.2
BU,21.6,,1.4,92.0,4196.16
AA,24.7,7.8,5.4,97.0,4562.88
BI,31.3,,3.6,65.0,2252.1
DK,27.1,,3.0,73.0,2220.0
CH,25.1,0.0,2.0,78.0,4175.52
AK,31.6,,1.7,70.0,2470.8
CC,20.0,,1.2,88.0,933.24
DT,23.6,,0.7,97.0,465.12
BH,27.3,,1.4,50.0,3259.44
DE,26.7,0.0,0.9,68.0,824.4
AN,26.6,,2.2,92.0,1489.44
CY,23.8,,1.2,85.0,1327.32
AN,18.1,,1.1,74.0,2454.72
DN,23.0,0.0,4.2,39.0,1799.82
BP,23.1,,1.1,82.0,458.28
DR,23.7,,7.3,99.0,1902.24
CL,29.4,,1.9,67.0,1376.64
DP,28.8,0.0,2.3,81.0,3418.08
BZ,18.9,,3.3,84.0,1173.0
CF,28.1,1.3,2.1,87.0,2893.92
AL,26.6,0.0,1.4,81.0,1616.22
CB,21.5,,2.2,66.0,1018.8
CZ,28.9,,5.1,83.0,1397.76
AA,27.6,,2.9,80.0,2932.32
DB,29.1,,1.7,71.0,3656.16
AC,22.0,2.8,1.4,98.0,860.4
DC,26.8,0.0,3.5,82.0,794.16
DQ,28.5,,1.8,64.0,1397.52
BZ,24.7,,1.7,77.0,2722.5
BI,23.0,,1.0,93.0,2162.7
CC,30.4,,3.3,84.0,1181.52
BN,24.2,0.6,1.1,99.0,503.4
BP,26.6,0.0,2.5,81.0,3214.44
CP,29.6,,2.0,61.0,1812.3
DO,22.9,,0.3,91.0,1136.52
AO,28.1,0.0,3.7,82.0,1938.87
CA,23.4,,4.0,52.0,2565.12
DR,18.8,,2.2,91.0,1561.68
AB,17.7,0.0,2.8,93.0,583.2
DB,22.1,,4.1,70.0,4006.08
CK,23.1,,0.8,91.0,410.76
AI,16.2,,2.6,81.0,1380.0
BL,25.8,1.7,4.3,91.0,630.0
BX,29.5,,1.3,57.0,3732.0
AH,25.4,,1.1,74.0,1009.68
BK,29.4,,2.3,68.0,5748.6
CM,17.3,,1.2,92.0,307.26
BZ,31.4,,7.0,61.0,2789.1
BL,29.5,0.0,4.0,65.0,3140.64
CC,30.4,,1.1,75.0,1066.2
DD,26.7,,3.9,77.0,4131.36
BC,25.7,0.4,3.3,92.0,1236.0
AC,25.3,,3.7,86.0,1049.04
CQ,30.0,,1.9,81.0,4246.8
CX,27.5,,3.1,76.0,897.84
BT,30.5,,2.1,56.0,3336.0
AM,18.4,3.4,3.1,100.0,2034.72
CK,34.0,,1.8,51.0,983.43
CX,29.7,,2.0,59.0,881.64
CN,24.2,,2.6,92.0,417.87
BN,24.3,,1.9,99.0,3690.3
CS,27.6,,4.6,41.0,2218.8
AD,30.6,,2.9,78.0,1614.24
BJ,23.5,,0.6,94.0,2878.8
BO,26.4,0.6,2.5,94.0,5077.2
DO,21.8,,3.4,90.0,610.56
CW,30.9,,1.7,72.0,1751.04
BY,28.5,,4.6,40.0,3232.44
AF,27.3,0.3,1.3,84.0,1471.68
AS,26.1,,2.7,85.0,1341.0
DC,23.0,0.9,1.6,99.0,2147.4
DC,29.1,,2.4,48.0,2122.56
AS,26.3,,0.7,87.0,821.88
BN,18.1,,1.5,98.0,335.4
AC,27.9,,2.0,74.0,2622.96
BJ,23.8,,1.4,88.0,2875.2
CG,22.6,0.0,1.1,90.0,606.24
BT,19.7,0.2,1.4,62.0,1845.12
CD,25.8,0.0,1.0,85.0,4571.64
CO,28.1,,3.3,75.0,1875.6
DR,26.0,,3.2,88.0,3558.48
CZ,24.6,,2.6,89.0,3164.16
DB,26.1,,2.4,82.0,1113.84
AE,25.1,,0.8,49.0,1480.32
BW,26.7,,0.8,85.0,3805.2
AT,26.4,,0.9,74.0,1308.96
DB,26.4,,1.6,91.0,2486.16
BS,23.2,,1.7,87.0,2541.12
BG,24.6,,2.7,76.0,8730.0
DM,26.0,,0.2,84.0,2282.88
AR,22.4,,0.4,98.0,932.1
AI,21.3,,2.8,84.0,1044.96
CE,21.5,,2.3,97.0,749.16
BI,32.1,,1.7,59.0,2215.2
DD,26.1,,3.4,73.0,2226.96
BS,26.6,,2.4,71.0,2347.68
CC,28.6,,1.6,87.0,1143.72
BH,23.8,,2.2,86.0,3318.48
DK,24.1,,1.2,84.0,506.88
CV,25.2,,1.7,86.0,3350.16
BV,24.8,,1.7,98.0,1679.4
AQ,29.1,,2.1,46.0,570.6
DC,19.3,,1.7,74.0,573.84
CP,26.8,,2.3,67.0,1547.7
DH,29.0,,1.6,58.0,1593.36
AT,22.0,,0.0,91.0,977.28
DB,24.4,1.4,1.4,98.0,2245.68
DT,25.9,,1.6,77.0,619.74
BE,26.6,,1.2,76.0,1062.72
DN,17.4,,0.7,94.0,483.12
BJ,27.4,0.0,1.9,94.0,2829.6
DQ,22.3,0.0,0.5,99.0,860.4
AD,26.6,0.5,2.6,90.0,1214.1
BR,24.4,0.3,0.5,100.0,560.64
AA,26.1,,3.6,81.0,2531.04
CM,29.2,0.0,2.2,84.0,878.76
DD,26.7,,2.4,93.0,1477.44
DQ,22.7,0.3,1.2,93.0,633.6
CX,32.5,,2.8,63.0,1670.94
AH,26.4,,0.8,90.0,1388.88
DJ,24.2,,3.2,63.0,1640.88
AO,26.9,,5.0,69.0,1869.48
CV,31.5,,3.0,63.0,2478.96
DJ,25.8,,2.3,86.0,1143.9
AM,21.9,,3.6,78.0,1822.56
BM,30.6,,2.9,62.0,1339.68
AF,25.6,,1.1,82.0,2350.56
BE,24.6,6.7,1.6,81.0,1284.48
CP,24.9,,1.2,74.0,2299.5
DH,25.5,,2.7,59.0,1486.26
CL,23.1,0.1,2.3,88.0,1440.36
AU,21.5,,0.3,85.0,1287.19
CX,29.5,,0.5,71.0,997.02
BC,26.4,0.0,2.9,90.0,1224.0
DD,26.5,,2.9,72.0,3926.16
AW,23.3,,2.0,87.0,1048.2
BW,29.8,,2.3,93.0,3107.16
CT,29.4,,1.9,21.0,1036.98
DQ,29.2,,1.4,52.0,1072.08
AR,18.6,,2.1,74.0,801.6
AG,23.0,,1.5,96.0,683.76
CR,24.1,2.2,0.6,95.0,3780.99
AV,16.6,,1.1,86.0,868.32
BI,23.8,,1.9,84.0,2143.8
CH,30.7,,3.5,59.0,4530.72
CN,27.5,,0.6,64.0,343.53
BN,25.9,,0.6,88.0,711.3
DR,31.5,,5.6,67.0,3816.12
AD,28.5,,2.3,73.0,1490.94
AC,23.8,,1.2,86.0,1105.92
BL,19.0,,3.2,61.0,567.72
AO,28.1,,1.6,69.0,1756.53
CQ,26.7,0.3,2.2,96.0,6729.6
AV,23.5,1.1,4.8,99.0,1179.0
BF,18.8,,1.9,87.0,9426.96
DO,28.5,,2.8,64.0,1406.7
BY,18.9,,0.5,51.0,1463.76
DN,30.1,,4.5,69.0,1672.38
CM,25.3,,1.5,92.0,404.82
AT,23.6,2.0,1.2,95.0,846.72
DE,25.5,0.0,2.2,89.0,1191.6
AY,26.5,,1.0,83.0,5240.4
BF,29.5,,6.3,77.0,10051.92
BG,25.4,,1.7,85.0,8713.44
DM,26.8,0.0,1.1,99.0,1906.08
CV,27.1,,1.7,89.0,3281.76
AM,22.9,,3.3,100.0,1930.56
AC,25.0,,2.2,41.0,1188.36
CG,27.5,0.0,0.8,89.0,653.4
BM,25.4,0.3,3.1,88.0,1454.4
BA,27.1,,1.3,50.0,15433.6
CM,27.7,,2.6,94.0,778.86
AB,29.0,,0.7,86.0,1871.28
CF,27.1,0.5,3.3,89.0,2879.04
DF,28.4,0.0,2.3,84.0,2668.32
AA,25.3,,0.7,87.0,886.08
DS,26.2,,1.3,87.0,1080.0
CS,22.9,,0.8,84.0,2187.84
CV,25.7,,1.6,75.0,2808.0
DG,16.7,,3.3,62.0,1511.52
AF,29.8,,4.1,70.0,2030.88
BA,33.5,,1.2,49.0,24494.4
CS,27.7,,2.3,73.0,3073.2
AT,26.4,,0.5,92.0,1028.64
CX,32.8,,1.1,44.0,1023.84
CX,25.5,,1.2,76.0,1012.68
CH,23.4,,3.8,60.0,3229.92
DQ,29.1,,0.0,66.0,1497.24
CP,22.4,,2.2,85.0,1133.7
CN,26.0,0.4,0.7,89.0,422.64
AW,29.3,,1.3,63.0,1600.2
BE,11.1,,0.4,94.0,927.36
BI,25.1,,2.1,80.0,2176.2
CG,26.9,0.0,1.5,74.0,3092.4
DV,20.7,,0.5,83.0,910.8
DV,27.8,,1.0,83.0,1137.6
CA,22.3,,0.5,84.0,708.96
BV,29.7,,1.6,42.0,2221.92
BU,24.0,,0.5,85.0,4538.88
CB,28.3,,2.1,87.0,1428.48
BG,24.1,0.0,2.0,94.0,8647.92
CD,25.4,,0.6,88.0,3936.24
AM,25.4,,3.4,80.0,2003.04
CB,27.0,,3.8,83.0,2734.2
CT,30.6,,3.8,71.0,1603.98
CI,28.9,,3.0,70.0,3487.32
CM,23.1,,2.2,65.0,298.8
BW,26.6,0.4,1.6,99.0,2721.96
CK,24.3,,1.5,88.0,474.93
AW,31.8,,3.0,61.0,1149.6
CF,19.4,,2.0,71.0,2762.4
DB,24.7,,3.7,66.0,5258.88
AM,23.7,,2.4,96.0,2816.16
BT,25.0,5.3,1.5,90.0,2125.44
AF,24.3,12.3,0.6,100.0,2279.04
CM,26.2,,3.5,68.0,292.14
AM,17.9,0.1,4.4,95.0,2290.08
BD,28.7,,2.4,69.0,1091.7
DD,28.4,,8.2,82.0,2269.44
CK,24.8,,1.3,81.0,481.95
AS,32.2,,4.2,62.0,2431.44
DP,19.8,,1.5,77.0,1661.04
BU,30.1,,4.5,69.0,5911.2
DL,34.5,,2.5,49.0,2413.92
DF,26.1,,1.3,97.0,906.72
AZ,25.3,0.0,1.3,79.0,5080.8
CL,30.7,,3.1,71.0,1648.8
CL,23.7,21.5,9.3,97.0,1188.72
DL,27.0,,3.6,70.0,2331.6
CD,26.9,,1.6,75.0,4470.84
DB,21.5,,0.6,82.0,1087.2
AR,24.2,0.4,3.7,94.0,1327.5
DL,25.9,,0.8,97.0,1593.12
AY,27.5,,1.4,75.0,5961.96
CO,23.0,,4.9,91.0,1505.04
DD,30.9,,3.0,62.0,5274.0
AA,27.5,,2.8,78.0,1980.96
DJ,28.2,,3.5,86.0,1916.46
BE,30.9,,1.1,64.0,2038.68
DU,26.0,,0.3,86.0,1056.24
CS,27.2,,2.7,77.0,2376.48
CL,26.1,,2.3,62.0,956.34
DA,17.3,,1.6,91.0,2638.56
CH,33.2,,3.9,58.0,3335.52
AI,27.8,,1.2,90.0,2314.56
BP,17.1,8.2,1.3,92.0,2502.72
BK,22.3,,1.1,99.0,1212.0
CX,31.8,,0.8,61.0,1586.16
AM,29.4,,2.4,76.0,2659.2
AR,30.3,,2.6,78.0,1816.8
DN,25.5,,1.3,86.0,653.76
CS,28.6,,2.8,81.0,1798.32
DC,28.5,11.4,0.7,89.0,2574.0
CQ,24.9,,1.2,81.0,3810.3
DT,23.3,,0.7,86.0,520.74
CK,24.8,,0.0,87.0,609.21
CD,30.9,,1.4,56.0,4537.08
AD,23.0,,1.8,89.0,851.58
AQ,25.4,,1.6,84.0,610.02
AZ,22.7,,0.6,98.0,2548.8
DD,24.5,,2.5,82.0,1558.08
AY,28.4,,2.2,83.0,10521.6
CA,18.1,,2.1,87.0,698.4
AX,23.7,0.0,2.8,96.0,7516.8
CM,22.6,0.0,2.2,54.0,285.66
BJ,15.6,,2.2,67.0,2805.84
DV,27.6,,2.4,83.0,474.0
DU,21.7,,0.7,96.0,933.12
BO,30.2,0.0,2.7,65.0,5145.6
AC,22.3,,2.0,87.0,852.84
DP,24.5,,0.5,89.0,2650.8
AE,27.7,0.0,3.5,77.0,1849.68
BQ,20.6,,0.7,100.0,570.6
CI,22.6,23.8,2.1,100.0,2801.52
CP,29.2,,2.8,63.0,1985.7
BF,25.3,,0.9,85.0,9916.56
DI,21.5,,2.4,77.0,1737.0
CN,25.9,,1.6,75.0,370.62
CY,28.6,0.0,1.7,71.0,1358.64
CZ,28.4,,2.2,44.0,2778.24
BF,23.6,0.1,0.0,96.0,9891.36
DR,29.7,,6.7,72.0,3664.56
AV,24.8,,1.1,76.0,1212.48
CK,19.2,,3.6,60.0,484.74
CU,28.9,,0.8,72.0,3352.8
AW,26.4,,0.6,82.0,1071.3
AP,28.0,,2.7,82.0,1994.88
BE,24.6,,0.4,95.0,1068.48
DQ,21.1,,0.8,90.0,860.4
CZ,30.0,,1.7,50.0,1230.24
BM,25.4,,0.6,86.0,816.96
DC,22.9,0.0,1.3,55.0,689.04
AP,27.0,,3.5,27.0,3383.04
AA,27.3,0.0,1.8,74.0,2504.64
DG,29.6,,2.6,67.0,2870.88
AF,20.0,,0.6,85.0,1450.56
BU,27.4,,2.3,77.0,6981.6
BT,25.7,2.6,0.6,96.0,2218.56
DL,22.9,,3.2,60.0,2132.16
AH,30.6,,2.3,55.0,1624.08
CN,29.2,,2.2,70.0,460.53
AG,26.4,,1.0,83.0,1024.08
BP,25.7,0.1,5.5,87.0,3259.8
CR,16.4,,3.6,81.0,3350.64
DQ,26.5,,0.9,85.0,1305.0
AU,22.7,0.0,0.8,47.0,1256.58
BO,24.9,0.0,1.2,74.0,5560.8
CW,24.6,0.8,1.6,99.0,1337.64
BZ,22.9,,2.1,95.0,1703.1
AN,25.3,,3.3,86.0,1427.52
BR,22.7,,1.2,97.0,582.24
DK,24.6,,4.3,58.0,522.72
DG,27.8,,6.7,75.0,2826.96
BV,26.4,,2.2,99.0,1686.96
CB,22.7,0.4,11.0,99.0,427.68
DP,28.7,,6.1,82.0,3492.0
AL,28.7,,2.4,61.0,1773.36
CU,23.9,,0.9,88.0,3866.4
AA,26.9,,2.7,85.0,4672.32
AY,28.0,,1.4,65.0,11559.36
DP,20.5,0.0,1.4,80.0,2250.0
DD,23.6,0.0,1.3,93.0,4408.56
DT,24.7,,0.7,97.0,1203.3
BL,22.6,,0.7,82.0,541.8
BM,23.3,,1.7,79.0,597.12
AC,24.8,7.8,3.5,95.0,885.24
AU,23.1,,0.5,76.0,1649.72
BB,29.9,,2.6,77.0,3427.2
DC,27.7,,5.2,89.0,1987.2
CM,26.6,0.3,1.3,99.0,1031.4
CP,25.6,0.0,1.7,95.0,2243.4
DO,23.4,,3.2,65.0,1098.54
CR,23.9,0.1,1.1,90.0,5921.19
CT,28.4,,6.3,86.0,1152.18
AJ,18.1,,1.6,96.0,3172.32
DK,24.0,,2.2,81.0,1047.12
DT,27.2,,1.0,81.0,1083.24
AO,20.7,,1.2,78.0,1423.62
DH,23.1,,2.6,62.0,1406.88
BC,26.1,,0.5,87.0,1489.2
CG,20.8,0.0,4.1,57.0,676.44
CM,24.4,,0.8,99.0,439.56
DV,23.4,,1.4,86.0,696.0
BC,19.0,,2.1,86.0,1345.5
CC,30.7,,1.0,78.0,1118.76
BA,24.0,,0.1,94.0,17472.0
CH,33.5,,1.3,56.0,3227.04
CT,23.0,,0.2,64.0,1099.08
CQ,23.6,,2.0,69.0,5322.9
AX,19.9,,1.2,76.0,7659.6
AA,22.3,,0.5,84.0,1048.8
CY,25.3,,3.2,53.0,2100.6
AE,24.4,1.4,1.4,98.0,1782.72
BF,24.4,,1.5,84.0,9792.72
BZ,23.9,,2.4,95.0,1648.5
DA,24.4,,0.8,100.0,2358.24
AT,28.1,2.0,3.5,84.0,1416.0
AY,23.7,,1.4,80.0,4984.38
AT,24.3,,0.7,95.0,969.6
AU,21.8,,0.5,43.0,2760.04
CH,25.8,,1.4,83.0,4419.36
DO,24.1,,2.3,78.0,722.7
AF,26.0,0.1,2.5,96.0,984.48
BU,26.7,0.0,2.8,74.0,7034.88
CP,28.5,0.0,2.2,59.0,3138.3
BG,17.9,,0.1,83.0,8420.04
AG,23.9,2.8,0.2,100.0,332.16
DI,29.1,,2.0,71.0,1908.36
BF,23.1,,2.3,59.0,9398.88
DM,32.6,,2.2,71.0,2367.6
DI,20.6,2.4,0.4,100.0,549.0
AV,23.4,,0.9,100.0,1640.88
CI,26.3,0.0,4.0,72.0,2454.84
BY,21.4,,2.6,63.0,2281.68
CL,21.2,4.2,4.4,97.0,1553.04
CH,23.2,,2.2,80.0,1657.44
DA,30.9,,2.2,69.0,4704.0
DE,28.4,0.0,4.8,86.0,969.6
AA,25.5,,0.8,89.0,1446.72
BI,22.4,,1.0,83.0,2133.0
CZ,29.3,,2.2,66.0,1972.32
AJ,23.4,,3.0,91.0,3864.96
CV,27.2,,2.1,76.0,6310.8
DD,23.3,,2.3,66.0,2239.92
DB,31.9,,3.2,55.0,5739.84
BD,23.1,,1.1,95.0,732.9
AL,28.1,,2.0,69.0,1739.34
BD,25.3,,1.0,67.0,501.3
BP,30.5,,1.5,63.0,3196.8
DP,26.6,,2.0,65.0,2986.08
CD,24.9,,0.3,89.0,4105.44
CJ,30.7,,3.4,44.0,1028.52
CD,26.8,,3.9,80.0,4395.24
DU,21.3,4.0,1.2,97.0,1501.92
CW,18.6,,0.3,85.0,386.52
BE,25.3,0.0,2.2,74.0,1232.28
AU,17.2,,3.4,55.0,1292.94
AQ,25.8,,1.5,85.0,574.74
AV,22.2,,1.2,100.0,899.64
AU,22.7,,0.4,84.0,3234.65
CH,26.2,,1.7,81.0,1682.88
BC,21.8,,2.3,92.0,1211.4
DE,23.2,,1.1,93.0,690.6
AF,28.2,,2.7,62.0,2906.4
DQ,25.2,,2.9,51.0,1143.36
CJ,29.2,,2.6,64.0,2097.18
DH,22.6,,2.9,53.0,1077.3
BO,17.9,0.0,2.3,95.0,929.4
BN,30.1,,5.3,85.0,790.2
BJ,25.3,,2.4,86.0,2906.4
CP,24.7,,0.9,75.0,1695.9
BE,24.4,,3.4,86.0,1949.04
BP,27.6,,0.6,75.0,446.04
DD,21.2,,2.6,60.0,946.8
AB,18.3,,2.2,89.0,835.56
CA,27.8,0.0,6.7,77.0,3431.04
CP,22.7,,2.1,87.0,1247.1
AP,15.5,,0.5,81.0,1332.0
AB,26.6,,2.0,65.0,2199.6
CW,24.4,,0.2,85.0,1222.92
DP,25.5,,1.8,82.0,2073.6
AA,24.8,,1.3,87.0,4321.92
BK,23.2,,2.2,80.0,1350.0
AA,27.6,,2.6,67.0,3848.16
BN,26.1,0.0,1.4,99.0,747.6
AW,32.3,,1.8,50.0,1635.6
AX,27.0,,0.9,76.0,7178.4
CO,29.9,,4.6,79.0,1482.48
CT,28.8,,1.1,64.0,1538.46
AS,26.8,,1.3,80.0,1938.6
CY,34.0,,2.7,54.0,2323.08
AF,30.5,,1.4,47.0,2940.96
DM,24.9,,0.3,99.0,617.04
CL,25.6,,1.6,85.0,890.46
CS,33.3,,3.4,47.0,3186.96
AD,17.4,0.2,2.0,93.0,1154.34
CJ,26.0,,1.1,79.0,1386.0
BC,17.3,,2.5,84.0,1538.4
BI,33.5,,3.3,52.0,2220.6
CL,24.4,,2.3,72.0,1055.16
AI,25.5,,1.1,97.0,2096.64
CQ,26.7,,1.4,82.0,3702.6
AI,27.9,,0.9,86.0,3345.6
DG,19.7,,2.4,77.0,1502.64
BE,22.1,,1.6,89.0,1015.92
DO,26.2,0.0,1.8,96.0,1333.98
AT,26.5,,1.1,78.0,2820.96
CX,21.8,,2.1,70.0,821.88
CS,28.2,,5.7,63.0,2388.72
AB,28.4,0.0,4.0,80.0,2658.96
CV,27.2,,4.2,58.0,5603.76
AT,24.8,0.7,1.1,94.0,3309.6
AD,27.8,,0.6,86.0,660.42
CB,30.5,,3.8,67.0,3354.12
AH,21.0,,0.4,85.0,1235.04
BS,25.0,0.1,2.2,98.0,2516.64
DG,26.4,,0.8,80.0,1939.92
BO,27.9,0.0,2.5,77.0,5210.4
AR,17.5,,0.5,88.0,868.8
BU,27.9,,3.6,78.0,6874.08
AD,24.0,,2.2,90.0,1213.92
BC,22.2,,0.4,92.0,1160.4
BW,29.8,,2.9,70.0,3119.04
BV,26.7,,2.6,88.0,1653.12
AW,23.7,26.7,0.7,97.0,1626.3
BT,24.8,,0.0,88.0,1746.72
CP,23.7,,2.0,91.0,1485.3
BC,25.2,,2.7,86.0,1415.4
BQ,24.6,,0.6,95.0,405.9
BX,28.3,,1.4,71.0,2935.2
BB,25.9,,1.6,71.0,1845.36
DN,29.9,,1.6,64.0,1658.88
DT,21.5,,1.1,96.0,525.06
DN,20.2,,1.6,78.0,1441.98
CL,23.7,,2.5,95.0,803.16
AI,28.1,,2.7,81.0,2455.68
CM,26.7,0.6,1.8,99.0,914.76
AB,25.3,7.3,3.0,95.0,2468.88
BN,28.8,,3.2,84.0,3416.1
CV,25.2,,3.5,63.0,4096.08
DC,27.9,,1.5,79.0,2337.12
BW,23.0,,0.3,99.0,2682.36
CX,26.1,,1.7,49.0,874.08
BM,28.4,,3.1,72.0,1952.64
AP,28.4,0.4,1.3,87.0,5211.84
CZ,18.5,0.0,0.8,93.0,1203.84
AG,24.5,0.0,0.5,87.0,923.76
DL,19.1,,3.7,76.0,429.84
DL,20.0,1.9,2.3,100.0,2165.76
DV,24.9,0.0,2.6,94.0,1120.32
AT,27.6,,0.5,87.0,995.52
AN,33.7,,2.8,54.0,1770.72
AM,21.0,,3.5,68.0,1891.2
AL,22.7,,0.6,93.0,1151.28
BF,24.1,,2.5,80.0,9820.8
CK,29.3,,2.0,63.0,1038.87
BT,22.8,,0.7,90.0,1583.52
BO,21.6,0.0,3.1,71.0,3198.0
CS,27.2,,0.5,69.0,1348.08
DB,30.1,,3.6,60.0,5365.44
AZ,25.8,,2.5,76.0,2996.16
BG,26.7,,2.7,90.0,8823.6
DP,30.2,,2.7,71.0,3555.36
CX,28.8,,1.4,73.0,1504.8
BO,25.5,0.0,1.4,83.0,1952.4
AD,26.7,,1.6,52.0,1095.12
AU,23.6,,2.1,76.0,1873.53
AV,21.6,,0.6,100.0,1182.96
AM,23.6,2.5,10.8,100.0,2652.0
AM,20.9,,2.3,87.0,2504.16
CA,19.9,,1.2,76.0,844.32
AR,23.5,,0.6,94.0,921.6
AQ,26.7,0.3,2.3,92.0,597.24
BR,17.6,,2.4,92.0,1078.08
DL,24.6,,2.4,88.0,436.56
BV,28.8,,5.1,88.0,2669.4
DV,23.0,,0.1,99.0,844.56
CR,25.6,,0.2,71.0,5961.41
AE,25.2,,1.7,86.0,1980.72
BY,27.3,,2.2,85.0,2323.44
DC,29.6,,2.2,71.0,2440.08
AP,27.6,,1.4,70.0,4128.0
BW,25.3,0.1,1.5,99.0,3943.08
DT,24.5,,2.5,81.0,1358.46
BM,29.2,,2.8,69.0,3748.8
DI,24.7,,0.3,93.0,1157.04
DC,30.6,,3.7,66.0,2156.4
CJ,28.8,0.0,2.3,81.0,1740.24
BE,22.1,,1.4,91.0,1818.36
AH,27.7,,1.4,47.0,1286.16
CN,27.8,0.2,1.3,86.0,407.52
BZ,31.4,,3.7,80.0,1956.9
CF,18.8,,0.1,90.0,2862.96
CE,24.2,,1.2,92.0,930.96
BF,25.2,,2.6,87.0,9833.76
DD,26.8,,2.5,73.0,1665.36
BL,26.8,,0.4,83.0,571.68
BQ,20.1,,0.2,100.0,426.3
BE,25.3,,1.3,82.0,1119.24
AE,28.8,,3.0,68.0,1951.2
AD,27.9,,2.4,67.0,886.86
AP,22.7,,1.8,52.0,2969.28
AQ,24.3,,1.9,87.0,347.4
CC,21.6,,0.5,72.0,1074.0
CA,30.1,,3.1,68.0,3511.68
CG,25.3,0.0,2.5,86.0,721.8
DV,24.6,,0.5,97.0,624.48
CF,23.7,,1.1,93.0,2852.16
DE,23.9,,0.6,91.0,772.2
AU,31.5,,1.1,55.0,3598.66
AZ,31.1,,2.0,74.0,4118.4
AY,25.4,,2.2,90.0,8163.48
AS,23.3,0.3,1.3,98.0,979.56
CU,29.5,,5.1,80.0,3830.4
BB,27.7,,1.6,83.0,2646.0
BR,25.0,,0.3,98.0,582.24
BN,19.9,0.0,1.5,90.0,3375.0
CB,23.1,,0.2,96.0,451.44
AN,25.5,,3.7,92.0,2394.72
AB,27.1,,1.6,83.0,1253.16
CK,24.0,,0.3,81.0,625.32
AV,27.8,,1.7,78.0,1797.12
BE,24.7,,0.2,87.0,1383.48
AR,26.0,,1.8,83.0,1541.1
DV,21.1,,0.1,100.0,681.6
AZ,33.4,,1.8,63.0,6147.36
BH,24.0,,1.2,89.0,3323.52
CQ,22.2,0.0,2.6,96.0,3541.2
AN,23.8,,1.5,87.0,2476.32
BB,25.3,,1.3,95.0,1263.6
BQ,27.4,,2.3,79.0,3802.2
AI,29.1,,4.6,78.0,2361.6
